SUBJ,Graph pt,TP? (DV)              (1 YES)
1,Q2 A,0
1,Q2 B,0
1,Q2 C,0
1,Q3 A,0
1,Q3 B,0
1,Q3 C,0
1,Q3 D,0
1,Q3 E,0
1,Q4 A,0
1,Q4 B,0
1,Q5 A,0
1,Q5 B,0
1,Q5 C,0
1,Q5 D,0
1,Q6 A,0
1,Q6 B,0
1,Q6 C,0
1,Q7 A,0
1,Q7 B,0
1,Q8 A,0
1,Q8 B,0
1,Q9 A,0
1,Q10 A,0
1,Q10 B,0
1,Q10 C,0
1,Q10 D,0
1,Q11 A,0
1,Q11 B,0
1,Q11 C,0
1,Q11 D,0
1,Q12 A,0
1,Q13 A,0
2,Q2 A,1
2,Q2 B,1
2,Q2 C,1
2,Q3 A,1
2,Q3 B,1
2,Q3 C,1
2,Q3 D,1
2,Q3 E,1
2,Q4 A,1
2,Q4 B,1
2,Q5 A,0
2,Q5 B,1
2,Q5 C,1
2,Q5 D,0
2,Q6 A,1
2,Q6 B,1
2,Q6 C,1
2,Q7 A,1
2,Q7 B,1
2,Q8 A,0
2,Q8 B,1
2,Q9 A,0
2,Q10 A,0
2,Q10 B,1
2,Q10 C,0
2,Q10 D,1
2,Q11 A,1
2,Q11 B,0
2,Q11 C,1
2,Q11 D,1
2,Q12 A,1
2,Q13 A,1
3,Q2 A,0
3,Q2 B,0
3,Q2 C,1
3,Q3 A,1
3,Q3 B,1
3,Q3 C,1
3,Q3 D,1
3,Q3 E,1
3,Q4 A,1
3,Q4 B,1
3,Q5 A,0
3,Q5 B,1
3,Q5 C,1
3,Q5 D,1
3,Q6 A,1
3,Q6 B,1
3,Q6 C,1
3,Q7 A,1
3,Q7 B,0
3,Q8 A,1
3,Q8 B,1
3,Q9 A,0
3,Q10 A,1
3,Q10 B,1
3,Q10 C,1
3,Q10 D,1
3,Q11 A,1
3,Q11 B,0
3,Q11 C,1
3,Q11 D,1
3,Q12 A,1
3,Q13 A,1
4,Q2 A,0
4,Q2 B,0
4,Q2 C,0
4,Q3 A,1
4,Q3 B,0
4,Q3 C,0
4,Q3 D,0
4,Q3 E,1
4,Q4 A,0
4,Q4 B,0
4,Q5 A,0
4,Q5 B,0
4,Q5 C,1
4,Q5 D,0
4,Q6 A,1
4,Q6 B,0
4,Q6 C,0
4,Q7 A,1
4,Q7 B,0
4,Q8 A,0
4,Q8 B,0
4,Q9 A,1
4,Q10 A,1
4,Q10 B,0
4,Q10 C,1
4,Q10 D,0
4,Q11 A,0
4,Q11 B,0
4,Q11 C,0
4,Q11 D,0
4,Q12 A,0
4,Q13 A,1
5,Q2 A,1
5,Q2 B,1
5,Q2 C,0
5,Q3 A,1
5,Q3 B,1
5,Q3 C,1
5,Q3 D,1
5,Q3 E,1
5,Q4 A,1
5,Q4 B,1
5,Q5 A,0
5,Q5 B,1
5,Q5 C,1
5,Q5 D,1
5,Q6 A,1
5,Q6 B,1
5,Q6 C,0
5,Q7 A,1
5,Q7 B,0
5,Q8 A,1
5,Q8 B,0
5,Q9 A,0
5,Q10 A,0
5,Q10 B,1
5,Q10 C,1
5,Q10 D,1
5,Q11 A,1
5,Q11 B,1
5,Q11 C,1
5,Q11 D,1
5,Q12 A,0
5,Q13 A,1
6,Q2 A,0
6,Q2 B,1
6,Q2 C,0
6,Q3 A,1
6,Q3 B,0
6,Q3 C,0
6,Q3 D,0
6,Q3 E,1
6,Q4 A,0
6,Q4 B,0
6,Q5 A,1
6,Q5 B,0
6,Q5 C,1
6,Q5 D,0
6,Q6 A,1
6,Q6 B,0
6,Q6 C,1
6,Q7 A,1
6,Q7 B,0
6,Q8 A,1
6,Q8 B,1
6,Q9 A,1
6,Q10 A,1
6,Q10 B,0
6,Q10 C,1
6,Q10 D,0
6,Q11 A,0
6,Q11 B,0
6,Q11 C,0
6,Q11 D,0
6,Q12 A,0
6,Q13 A,1
7,Q2 A,0
7,Q2 B,0
7,Q2 C,0
7,Q3 A,0
7,Q3 B,0
7,Q3 C,0
7,Q3 D,0
7,Q3 E,0
7,Q4 A,0
7,Q4 B,0
7,Q5 A,0
7,Q5 B,1
7,Q5 C,0
7,Q5 D,0
7,Q6 A,0
7,Q6 B,1
7,Q6 C,0
7,Q7 A,0
7,Q7 B,0
7,Q8 A,0
7,Q8 B,0
7,Q9 A,0
7,Q10 A,0
7,Q10 B,0
7,Q10 C,0
7,Q10 D,0
7,Q11 A,0
7,Q11 B,1
7,Q11 C,0
7,Q11 D,0
7,Q12 A,1
7,Q13 A,0
8,Q2 A,0
8,Q2 B,0
8,Q2 C,0
8,Q3 A,0
8,Q3 B,0
8,Q3 C,0
8,Q3 D,1
8,Q3 E,0
8,Q4 A,1
8,Q4 B,1
8,Q5 A,0
8,Q5 B,1
8,Q5 C,1
8,Q5 D,1
