Subj,University        (1 Brown),Experience               (1 EXEC),TP desc change        (1 change),TP desc rate      (1 rate),TP desc direction        (1 direction),TP desc  no return              (1 no return),Tell mgr         (1 YES),Importance of sustained change (100 very),Importance rise (100 very),Importance fall (100 very),Importance periodic nature of occurrence (100 very),Num other TP IDed than pts suggested         (0-12),LIWC Def posemo,LIWC Def negemo,LIWC Def cause,LIWC Def focuspresent,LIWC Def focusfuture,LIWC Def relativ,LIWC Def time
1,0,0,0,0,0,0,1,68,89,,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,0,0,1,1,0,0,1,47,100,100,18,2,0.00,0.00,33.33,8.33,0.00,50.00,8.33
3,0,0,1,0,1,0,1,,100,100,100,0,0.00,0.00,11.11,0.00,0.00,33.33,22.22
4,0,0,1,0,1,0,1,60,90,90,11,2,9.09,0.00,0.00,9.09,0.00,31.82,9.09
5,0,0,1,0,0,0,1,100,10,10,0,0,0.00,25.00,0.00,0.00,0.00,75.00,0.00
6,0,0,1,1,0,0,1,81,72,72,71,3,0.00,6.25,6.25,6.25,6.25,31.25,6.25
7,0,0,1,0,0,1,1,50,75,,50,12,0.00,4.35,8.70,8.70,4.35,13.04,4.35
8,0,0,1,1,1,0,1,33,13,100,0,0,0.00,0.00,0.00,0.00,9.09,18.18,0.00
9,0,0,1,0,0,0,1,82,19,73,13,0,33.33,0.00,0.00,0.00,0.00,0.00,0.00
10,0,0,1,0,0,1,1,47,100,39,49,0,0.00,2.56,2.56,15.38,2.56,23.08,0.00
11,0,0,1,0,1,0,1,71,90,71,65,1,0.00,0.00,9.09,9.09,0.00,36.36,0.00
12,0,0,1,0,1,0,0,100,,,100,0,0.00,5.26,0.00,10.53,0.00,15.79,0.00
13,0,0,1,1,0,0,1,50,81,81,60,1,5.88,5.88,5.88,11.76,0.00,23.53,5.88
14,0,0,1,1,0,0,1,91,50,84,30,4,0.00,0.00,12.50,12.50,0.00,37.50,12.50
15,0,0,1,0,1,0,1,72,100,25,64,3,0.00,10.00,0.00,20.00,0.00,30.00,10.00
16,0,0,1,1,0,0,0,61,70,71,50,0,0.00,0.00,25.00,0.00,0.00,50.00,0.00
17,0,0,0,0,1,0,1,33,72,7,43,2,0.00,0.00,0.00,0.00,0.00,50.00,0.00
18,0,0,0,0,0,0,1,64,50,50,67,0,0.00,0.00,0.00,11.11,0.00,33.33,5.56
19,0,0,1,1,0,0,1,30,83,83,9,1,0.00,0.00,11.11,16.67,0.00,38.89,16.67
20,0,0,1,1,1,0,1,34,44,81,35,1,0.00,0.00,0.00,4.55,0.00,40.91,13.64
21,0,0,1,1,1,1,1,,100,100,,3,0.00,0.00,0.00,11.11,3.70,22.22,7.41
22,0,0,1,1,0,0,1,80,50,82,37,2,0.00,0.00,8.70,8.70,0.00,30.43,8.70
23,0,0,1,0,0,1,0,7,73,74,,0,0.00,5.56,16.67,16.67,0.00,16.67,0.00
24,0,0,1,0,0,0,1,70,100,100,20,2,0.00,0.00,25.00,0.00,12.50,0.00,0.00
25,0,0,1,0,1,0,1,100,100,100,50,0,0.00,0.00,0.00,0.00,0.00,33.33,0.00
26,0,0,1,1,1,0,1,50,90,89,54,0,0.00,0.00,19.05,9.52,0.00,33.33,4.76
27,0,0,1,0,0,1,1,72,8,100,77,3,0.00,0.00,0.00,11.11,0.00,33.33,11.11
28,0,0,0,0,0,0,1,100,80,80,10,2,0.00,12.50,0.00,25.00,0.00,12.50,0.00
29,0,0,1,0,0,0,1,70,100,100,50,2,0.00,0.00,28.57,0.00,0.00,14.29,0.00
30,0,0,1,0,1,0,,90,100,100,85,1,0.00,0.00,0.00,6.25,0.00,37.50,6.25
31,0,0,1,1,1,1,1,87,39,39,70,0,0.00,0.00,15.38,7.69,0.00,30.77,0.00
32,0,0,1,1,0,0,1,37,61,49,62,2,0.00,0.00,13.33,0.00,0.00,40.00,0.00
