subj,graphid,tp,q,pt
1,Q2 A,0,Q2,A
1,Q2 B,0,Q2,B
1,Q2 C,0,Q2,C
1,Q3 A,0,Q3,A
1,Q3 B,0,Q3,B
1,Q3 C,0,Q3,C
1,Q3 D,0,Q3,D
1,Q3 E,0,Q3,E
1,Q4 A,0,Q4,A
1,Q4 B,0,Q4,B
1,Q5 A,0,Q5,A
1,Q5 B,0,Q5,B
1,Q5 C,0,Q5,C
1,Q5 D,0,Q5,D
1,Q6 A,0,Q6,A
1,Q6 B,0,Q6,B
1,Q6 C,0,Q6,C
1,Q7 A,0,Q7,A
1,Q7 B,0,Q7,B
1,Q8 A,0,Q8,A
1,Q8 B,0,Q8,B
1,Q9 A,0,Q9,A
1,Q10 A,0,Q10,A
1,Q10 B,0,Q10,B
1,Q10 C,0,Q10,C
1,Q10 D,0,Q10,D
1,Q11 A,0,Q11,A
1,Q11 B,0,Q11,B
1,Q11 C,0,Q11,C
1,Q11 D,0,Q11,D
1,Q12 A,0,Q12,A
1,Q13 A,0,Q13,A
2,Q2 A,1,Q2,A
2,Q2 B,1,Q2,B
2,Q2 C,1,Q2,C
2,Q3 A,1,Q3,A
2,Q3 B,1,Q3,B
2,Q3 C,1,Q3,C
2,Q3 D,1,Q3,D
2,Q3 E,1,Q3,E
2,Q4 A,1,Q4,A
2,Q4 B,1,Q4,B
2,Q5 A,0,Q5,A
2,Q5 B,1,Q5,B
2,Q5 C,1,Q5,C
2,Q5 D,0,Q5,D
2,Q6 A,1,Q6,A
2,Q6 B,1,Q6,B
2,Q6 C,1,Q6,C
2,Q7 A,1,Q7,A
2,Q7 B,1,Q7,B
2,Q8 A,0,Q8,A
2,Q8 B,1,Q8,B
2,Q9 A,0,Q9,A
2,Q10 A,0,Q10,A
2,Q10 B,1,Q10,B
2,Q10 C,0,Q10,C
2,Q10 D,1,Q10,D
2,Q11 A,1,Q11,A
2,Q11 B,0,Q11,B
2,Q11 C,1,Q11,C
2,Q11 D,1,Q11,D
2,Q12 A,1,Q12,A
2,Q13 A,1,Q13,A
3,Q2 A,0,Q2,A
3,Q2 B,0,Q2,B
3,Q2 C,1,Q2,C
3,Q3 A,1,Q3,A
3,Q3 B,1,Q3,B
3,Q3 C,1,Q3,C
3,Q3 D,1,Q3,D
3,Q3 E,1,Q3,E
3,Q4 A,1,Q4,A
3,Q4 B,1,Q4,B
3,Q5 A,0,Q5,A
3,Q5 B,1,Q5,B
3,Q5 C,1,Q5,C
3,Q5 D,1,Q5,D
3,Q6 A,1,Q6,A
3,Q6 B,1,Q6,B
3,Q6 C,1,Q6,C
3,Q7 A,1,Q7,A
3,Q7 B,0,Q7,B
3,Q8 A,1,Q8,A
3,Q8 B,1,Q8,B
3,Q9 A,0,Q9,A
3,Q10 A,1,Q10,A
3,Q10 B,1,Q10,B
3,Q10 C,1,Q10,C
3,Q10 D,1,Q10,D
3,Q11 A,1,Q11,A
3,Q11 B,0,Q11,B
3,Q11 C,1,Q11,C
3,Q11 D,1,Q11,D
3,Q12 A,1,Q12,A
3,Q13 A,1,Q13,A
4,Q2 A,0,Q2,A
4,Q2 B,0,Q2,B
4,Q2 C,0,Q2,C
4,Q3 A,1,Q3,A
4,Q3 B,0,Q3,B
4,Q3 C,0,Q3,C
4,Q3 D,0,Q3,D
4,Q3 E,1,Q3,E
4,Q4 A,0,Q4,A
4,Q4 B,0,Q4,B
4,Q5 A,0,Q5,A
4,Q5 B,0,Q5,B
4,Q5 C,1,Q5,C
4,Q5 D,0,Q5,D
4,Q6 A,1,Q6,A
4,Q6 B,0,Q6,B
4,Q6 C,0,Q6,C
4,Q7 A,1,Q7,A
4,Q7 B,0,Q7,B
4,Q8 A,0,Q8,A
4,Q8 B,0,Q8,B
4,Q9 A,1,Q9,A
4,Q10 A,1,Q10,A
4,Q10 B,0,Q10,B
4,Q10 C,1,Q10,C
