subj,uniBrown,expExec,tpChange,tpRate,tpDir,tpNoReturn,tellMgr,impChange,impRise,impFall,impPeriodic,numOtherTP,liwcPosemo,liwcNegemo,liwcCause,liwcFocusPre,liwcFocusFut,liwcRelativ,liwcTime
1,0,0,0,0,0,0,1,68,89,,,0,0,0,0,0,0,0,0
2,0,0,1,1,0,0,1,47,100,100,18,2,0,0,33.33,8.33,0,50,8.33
3,0,0,1,0,1,0,1,,100,100,100,0,0,0,11.11,0,0,33.33,22.22
4,0,0,1,0,1,0,1,60,90,90,11,2,9.09,0,0,9.09,0,31.82,9.09
5,0,0,1,0,0,0,1,100,10,10,0,0,0,25,0,0,0,75,0
6,0,0,1,1,0,0,1,81,72,72,71,3,0,6.25,6.25,6.25,6.25,31.25,6.25
7,0,0,1,0,0,1,1,50,75,,50,12,0,4.35,8.7,8.7,4.35,13.04,4.35
8,0,0,1,1,1,0,1,33,13,100,0,0,0,0,0,0,9.09,18.18,0
9,0,0,1,0,0,0,1,82,19,73,13,0,33.33,0,0,0,0,0,0
10,0,0,1,0,0,1,1,47,100,39,49,0,0,2.56,2.56,15.38,2.56,23.08,0
11,0,0,1,0,1,0,1,71,90,71,65,1,0,0,9.09,9.09,0,36.36,0
12,0,0,1,0,1,0,0,100,,,100,0,0,5.26,0,10.53,0,15.79,0
13,0,0,1,1,0,0,1,50,81,81,60,1,5.88,5.88,5.88,11.76,0,23.53,5.88
14,0,0,1,1,0,0,1,91,50,84,30,4,0,0,12.5,12.5,0,37.5,12.5
15,0,0,1,0,1,0,1,72,100,25,64,3,0,10,0,20,0,30,10
16,0,0,1,1,0,0,0,61,70,71,50,0,0,0,25,0,0,50,0
17,0,0,0,0,1,0,1,33,72,7,43,2,0,0,0,0,0,50,0
18,0,0,0,0,0,0,1,64,50,50,67,0,0,0,0,11.11,0,33.33,5.56
19,0,0,1,1,0,0,1,30,83,83,9,1,0,0,11.11,16.67,0,38.89,16.67
20,0,0,1,1,1,0,1,34,44,81,35,1,0,0,0,4.55,0,40.91,13.64
21,0,0,1,1,1,1,1,,100,100,,3,0,0,0,11.11,3.7,22.22,7.41
22,0,0,1,1,0,0,1,80,50,82,37,2,0,0,8.7,8.7,0,30.43,8.7
23,0,0,1,0,0,1,0,7,73,74,,0,0,5.56,16.67,16.67,0,16.67,0
24,0,0,1,0,0,0,1,70,100,100,20,2,0,0,25,0,12.5,0,0
25,0,0,1,0,1,0,1,100,100,100,50,0,0,0,0,0,0,33.33,0
26,0,0,1,1,1,0,1,50,90,89,54,0,0,0,19.05,9.52,0,33.33,4.76
27,0,0,1,0,0,1,1,72,8,100,77,3,0,0,0,11.11,0,33.33,11.11
28,0,0,0,0,0,0,1,100,80,80,10,2,0,12.5,0,25,0,12.5,0
29,0,0,1,0,0,0,1,70,100,100,50,2,0,0,28.57,0,0,14.29,0
30,0,0,1,0,1,0,,90,100,100,85,1,0,0,0,6.25,0,37.5,6.25
31,0,0,1,1,1,1,1,87,39,39,70,0,0,0,15.38,7.69,0,30.77,0
32,0,0,1,1,0,0,1,37,61,49,62,2,0,0,13.33,0,0,40,0
33,0,0,1,0,0,0,1,71,0,100,50,3,0,0,13.33,6.67,0,26.67,6.67
34,0,0,1,1,0,0,0,20,99,100,29,12,0,0,15.79,10.53,0,36.84,10.53
35,0,0,0,0,0,0,1,83,73,85,88,4,0,0,0,18.75,6.25,6.25,0
36,0,0,1,1,0,0,1,66,37,52,55,2,0,0,21.43,7.14,0,42.86,0
37,0,0,1,1,0,0,1,10,100,100,,0,0,0,0,12.5,0,12.5,0
38,0,0,1,0,1,0,1,100,100,100,50,0,0,0,10.53,10.53,0,36.84,10.53
39,0,0,0,0,0,0,1,35,100,100,17,0,0,0,0,10,0,20,0
