Variables,Mean,SD
risingBefore,0.53125,0.49906629236916394
cannotSeeAfter,0.15625,0.3631240654629625
downOverall,0.65625,0.47500057760696773
bellOverall,0.0625,0.24208271030864145
complexOverall,0.896551724137931,0.3045729810292425
uniBrown,0.2808988764044944,0.4494776595320438
expExec,0.1348314606741573,0.34157344906568465
tpChange,0.9044943820224719,0.2939378562849132
tpRate,0.24157303370786518,0.4280743794998628
tpDir,0.39325842696629215,0.4885162577455731
tpNoReturn,0.14606741573033707,0.353204795781943
tellMgr,0.8344370860927153,0.37172628692305737
impChange,64.13548387096775,27.647089462087745
impRise,66.85714285714286,29.18764633737253
impFall,70.17333333333333,28.40196023902547
impPeriodic,50.78832116788321,28.849074891103626
numOtherTP,1.8735632183908046,2.3893884209898117
liwcPosemo,2.0383707865168508,6.308969036533069
liwcNegemo,1.1772471910112308,3.699670109298818
liwcCause,6.54533707865161,8.631959719307801
liwcFocusPre,9.063370786516767,10.09882884821371
liwcFocusFut,1.0378651685393283,3.164760299096496
liwcRelativ,28.188764044943373,14.1656434200101
liwcTime,5.325842696629235,7.321073885483529
